transaction_id,date,store_id,product_id,quantity,unit_price,total_amount,customer_age
1,2024-03-21,15,1075,9,181.96,1637.64,27
2,2024-10-05,17,1062,9,134.1,1206.9,42
3,2024-02-16,5,1051,6,102.68,616.08,49
4,2024-01-23,18,1074,9,136.04,1224.36,39
5,2024-03-26,6,1076,3,254.36,763.08,60
6,2024-09-21,13,1009,8,117.54,940.32,55
7,2024-06-28,19,1100,8,256.27,2050.16,45
8,2024-10-05,16,1049,10,92.78,927.8,51
9,2024-07-31,6,1043,6,473.83,2842.98,25
10,2024-12-19,2,1061,7,118.58,830.06,29
11,2024-08-13,12,1015,5,459.22,2296.1,26
12,2024-01-16,19,1062,8,493.0,3944.0,57
13,2024-02-10,6,1065,1,111.26,111.26,45
14,2024-04-21,8,1007,1,240.62,240.62,38
15,2024-07-27,17,1053,4,470.97,1883.88,22
16,2024-03-31,5,1003,5,310.43,1552.15,63
17,2024-01-05,15,1070,6,82.93,497.58,52
18,2024-09-19,4,1030,1,460.75,460.75,47
19,2024-07-12,18,1076,4,443.94,1775.76,22
20,2024-03-31,16,1094,3,392.18,1176.54,59
21,2024-03-09,11,1003,3,115.22,345.66,62
22,2024-12-13,14,1096,7,299.89,2099.23,68
23,2024-12-14,3,1088,1,402.6,402.6,39
24,2024-02-25,3,1059,6,365.97,2195.82,39
25,2024-12-19,17,1044,5,435.85,2179.25,38
26,2024-05-16,1,1011,10,75.93,759.3,29
27,2024-10-08,11,1067,6,338.54,2031.24,52
28,2024-03-04,14,1060,7,244.78,1713.46,24
29,2024-07-22,17,1089,6,213.37,1280.22,44
30,2024-08-15,14,1010,4,63.63,254.52,47
31,2024-12-19,4,1005,3,227.13,681.39,28
32,2024-02-27,4,1068,9,348.37,3135.33,28
33,2024-03-18,11,1060,4,254.85,1019.4,61
34,2024-12-23,5,1047,8,61.02,488.16,56
35,2024-11-10,2,1025,5,88.71,443.55,64
36,2024-10-31,7,1043,1,309.51,309.51,68
37,2024-02-02,14,1020,8,422.16,3377.28,61
38,2024-11-03,11,1042,9,224.69,2022.21,30
39,2024-07-04,9,1013,5,273.96,1369.8,59
40,2024-06-28,14,1004,1,209.53,209.53,42
41,2024-08-17,6,1025,2,449.57,899.14,61
42,2024-10-05,9,1065,9,44.79,403.11,55
43,2024-09-06,20,1093,4,258.96,1035.84,68
44,2024-08-24,10,1008,8,300.84,2406.72,33
45,2024-04-27,10,1068,10,197.19,1971.9,21
46,2024-01-06,9,1058,4,292.01,1168.04,57
47,2024-01-15,10,1095,1,363.67,363.67,54
48,2024-07-25,15,1073,10,235.91,2359.1,39
49,2024-05-11,4,1024,8,470.39,3763.12,39
50,2024-11-21,3,1005,10,314.74,3147.4,36
51,2024-12-13,20,1086,1,216.08,216.08,18
52,2024-02-17,4,1088,5,434.27,2171.35,53
53,2024-03-25,8,1051,4,18.85,75.4,68
54,2024-01-30,14,1076,9,84.56,761.04,63
55,2024-04-05,2,1000,9,317.74,2859.66,19
56,2024-09-03,16,1047,10,417.76,4177.6,50
57,2024-06-26,6,1097,4,221.11,884.44,33
58,2024-05-08,6,1060,4,229.08,916.32,63
59,2024-06-22,7,1077,9,91.0,819.0,18
60,2024-05-02,2,1089,6,283.31,1699.86,31
61,2024-11-10,13,1028,2,104.49,208.98,50
62,2024-10-14,4,1073,2,245.8,491.6,48
63,2024-08-23,3,1061,7,440.33,3082.31,18
64,2024-07-04,19,1083,1,455.7,455.7,68
65,2024-07-05,4,1009,9,490.08,4410.72,56
66,2024-11-26,16,1046,10,111.36,1113.6,60
67,2024-03-12,1,1012,9,253.64,2282.76,35
68,2024-07-28,4,1028,1,371.77,371.77,35
69,2024-05-08,16,1014,6,9.61,57.66,44
70,2024-10-15,7,1030,9,282.38,2541.42,51
71,2024-11-16,18,1085,3,416.57,1249.71,54
72,2024-08-30,17,1015,2,89.46,178.92,62
73,2024-07-24,11,1018,3,261.55,784.65,35
74,2024-05-08,17,1043,2,189.27,378.54,46
75,2024-12-15,1,1033,4,67.21,268.84,41
76,2024-05-12,15,1017,10,415.84,4158.4,26
77,2024-08-02,4,1079,1,95.63,95.63,51
78,2024-06-10,5,1023,1,379.71,379.71,66
79,2024-09-22,4,1052,3,77.5,232.5,58
80,2024-12-30,2,1096,7,219.74,1538.18,32
81,2024-09-02,8,1053,6,299.19,1795.14,64
82,2024-09-09,6,1085,4,141.24,564.96,64
83,2024-12-08,5,1024,1,16.3,16.3,40
84,2024-03-17,12,1077,6,132.06,792.36,54
85,2024-03-09,12,1089,9,15.2,136.8,18
86,2024-04-21,2,1087,8,359.69,2877.52,64
87,2024-08-13,13,1006,8,116.25,930.0,54
88,2024-08-06,17,1042,9,155.07,1395.63,64
89,2024-05-20,13,1016,9,180.13,1621.17,27
90,2024-01-09,12,1034,5,200.29,1001.45,40
91,2024-10-17,17,1003,9,218.62,1967.58,25
92,2024-01-03,14,1019,7,228.95,1602.65,58
93,2024-02-06,9,1059,6,109.32,655.92,55
94,2024-01-18,5,1043,3,280.86,842.58,30
95,2024-01-24,11,1028,4,100.84,403.36,20
96,2024-03-20,5,1025,5,31.21,156.05,58
97,2024-03-05,10,1050,9,420.71,3786.39,38
98,2024-10-12,10,1023,10,296.26,2962.6,37
99,2024-05-24,16,1078,6,220.02,1320.12,21
100,2024-06-26,5,1083,4,181.84,727.36,62
101,2024-03-01,10,1026,3,404.5,1213.5,42
102,2024-05-07,15,1046,8,317.26,2538.08,58
103,2024-08-25,20,1035,1,40.84,40.84,69
104,2024-03-23,15,1014,3,338.59,1015.77,61
105,2024-08-22,16,1057,4,70.08,280.32,32
106,2024-11-27,3,1085,4,38.13,152.52,40
107,2024-08-27,14,1084,1,398.15,398.15,65
108,2024-10-26,9,1079,9,425.82,3832.38,58
109,2024-03-08,9,1100,7,184.33,1290.31,57
110,2024-02-13,16,1043,10,125.09,1250.9,58
111,2024-07-18,8,1009,4,150.6,602.4,35
112,2024-12-26,12,1038,6,354.58,2127.48,36
113,2024-02-22,10,1076,5,120.02,600.1,25
114,2024-01-02,16,1016,6,19.62,117.72,58
115,2024-08-30,20,1068,7,204.52,1431.64,34
116,2024-11-24,17,1010,4,350.91,1403.64,49
117,2024-07-06,10,1070,7,18.85,131.95,33
118,2024-05-25,5,1061,4,434.42,1737.68,56
119,2024-05-16,11,1051,1,479.33,479.33,36
120,2024-02-16,5,1042,9,99.59,896.31,24
121,2024-12-16,13,1078,4,281.24,1124.96,32
122,2024-03-27,7,1064,6,229.16,1374.96,65
123,2024-10-16,16,1073,7,119.21,834.47,58
124,2024-12-16,9,1018,3,176.14,528.42,33
125,2024-03-23,17,1032,1,34.2,34.2,38
126,2024-02-10,9,1042,2,56.94,113.88,54
127,2024-05-18,12,1082,3,276.24,828.72,62
128,2024-04-04,13,1008,10,314.56,3145.6,40
129,2024-09-19,16,1050,2,321.73,643.46,57
130,2024-07-22,18,1004,9,217.01,1953.09,29
131,2024-09-29,17,1045,3,71.97,215.91,66
132,2024-03-24,18,1060,2,275.73,551.46,68
133,2024-11-14,13,1040,4,139.21,556.84,54
134,2024-04-29,18,1055,2,481.38,962.76,34
135,2024-07-15,19,1030,7,256.02,1792.14,41
136,2024-11-01,7,1064,10,42.04,420.4,57
137,2024-08-11,5,1038,4,435.67,1742.68,47
138,2024-02-20,12,1060,9,189.79,1708.11,48
139,2024-11-05,6,1035,8,94.97,759.76,42
140,2024-03-12,9,1037,2,423.22,846.44,33
141,2024-11-04,15,1045,2,143.8,287.6,25
142,2024-07-23,12,1092,6,73.64,441.84,28
143,2024-09-08,4,1078,2,22.29,44.58,20
144,2024-01-18,14,1033,6,496.37,2978.22,42
145,2024-07-01,13,1003,10,331.21,3312.1,40
146,2024-03-06,10,1069,10,191.38,1913.8,39
147,2024-11-22,7,1086,5,249.13,1245.65,57
148,2024-11-28,6,1066,1,394.65,394.65,23
149,2024-02-23,11,1024,3,302.84,908.52,27
150,2024-10-25,4,1052,9,215.12,1936.08,56
151,2024-08-21,7,1034,8,431.82,3454.56,56
152,2024-01-16,10,1044,1,497.55,497.55,32
153,2024-04-09,14,1060,1,60.22,60.22,64
154,2024-09-21,18,1098,9,381.72,3435.48,45
155,2024-08-31,15,1021,7,318.53,2229.71,26
156,2024-10-27,20,1034,3,469.24,1407.72,22
157,2024-04-01,20,1094,9,62.0,558.0,70
158,2024-05-01,17,1056,5,73.53,367.65,67
159,2024-06-22,15,1064,4,358.66,1434.64,51
160,2024-08-25,14,1081,8,73.8,590.4,21
161,2024-01-01,13,1076,5,332.17,1660.85,52
162,2024-10-04,1,1074,7,326.02,2282.14,37
163,2024-11-26,3,1043,8,444.57,3556.56,55
164,2024-01-17,18,1062,10,111.12,1111.2,31
165,2024-01-17,18,1100,5,460.8,2304.0,29
166,2024-10-08,9,1065,9,187.68,1689.12,26
167,2024-06-13,18,1040,1,31.3,31.3,18
168,2024-02-19,13,1021,7,281.81,1972.67,58
169,2024-06-27,20,1035,4,430.78,1723.12,66
170,2024-09-16,7,1041,1,166.71,166.71,70
171,2024-03-19,17,1048,3,173.89,521.67,43
172,2024-11-02,13,1083,6,70.86,425.16,44
173,2024-10-23,13,1033,4,291.3,1165.2,43
174,2024-01-16,7,1067,10,24.53,245.3,52
175,2024-04-07,10,1002,6,80.66,483.96,51
176,2024-05-20,19,1081,8,205.56,1644.48,53
177,2024-10-15,4,1069,6,13.06,78.36,27
178,2024-03-12,1,1066,2,275.49,550.98,46
179,2024-09-28,10,1015,5,494.24,2471.2,27
180,2024-03-15,3,1096,7,475.86,3331.02,38
